SampleID,datapointID,answer
0,1,x = 58/15
1,1,The result of (6) + (22) + (-29) is -1.
2,1,x = -16
3,1,x = -2 or x = 2
4,1,x = -7 or x = 7
5,1,x = 41
6,1,The result of (46) * (-12) is -552.
7,1,The result of (14) + (-35) is -21.
8,1,x = -2 or x = 2
9,1,The result of (17) + (11) + (21) is 49.
10,1,x = -2
11,1,x = 7/10
12,1,x = -10
13,1,The result of (-15) + (-27) + (-30) + (-8) + (15) is -65.
14,1,x = 67/8
15,1,The result of (-2) + (-2) + (23) + (24) is 43.
16,1,x = -6 or x = 6
17,1,x = -3/2
18,1,x = 22
19,1,x = -5 or x = 5
20,1,x = 35/2
21,1,x = -9/2
22,1,The result of (9) - (-34) is 43.
23,1,The result of (47) / (6) is 7.833333333333333.
24,1,x = 44/7
25,1,x = -4 or x = 4
26,1,The result of (-17) + (4) + (-15) + (22) + (-2) is -8.
27,1,x = 52/3
28,1,The result of (22) + (-27) + (-14) + (-11) is -30.
29,1,x = -14/3
30,1,The result of (0) + (5) + (-9) is -4.
31,1,x = -63/8
32,1,x = -10 or x = 10
33,1,The result of (18) + (8) is 26.
34,1,x = -4 or x = 4
35,1,The result of (2) / (21) is 0.09523809523809523.
36,1,The result of (5) / (13) is 0.38461538461538464.
37,1,x = -9/2
38,1,x = -9
39,1,x = -19
40,1,The result of (36) + (-48) is -12.
41,1,The result of (25) - (-13) is 38.
42,1,The result of (41) + (-13) is 28.
43,1,The result of (46) * (38) is 1748.
44,1,x = 6/19
45,1,x = 59/4
46,1,x = -8 or x = 8
47,1,x = 8
48,1,x = 19/2
49,1,The result of (28) / (23) is 1.2173913043478262.
50,1,The result of (-5) + (-5) + (-26) is -36.
51,1,x = -8 or x = 8
52,1,x = -2 or x = 2
53,1,x = 39/4
54,1,x = 45/4
55,1,The result of (23) / (49) is 0.46938775510204084.
56,1,x = -1 or x = 1
57,1,x = -5
58,1,The result of (48) + (26) is 74.
59,1,x = -10 or x = 10
60,1,The result of (38) * (34) is 1292.
61,1,The result of (6) + (12) + (-22) + (-16) is -20.
62,1,x = -9 or x = 9
63,1,x = -3/2
64,1,x = 84
65,1,x = 31/12
66,1,The result of (19) / (32) is 0.59375.
67,1,x = -7 or x = 7
68,1,x = -9
69,1,x = 3
70,1,x = 93/2
71,1,The result of (12) + (7) + (7) + (-21) + (30) is 35.
72,1,x = 5
73,1,x = -1 or x = 1
74,1,The result of (10) - (2) is 8.
75,1,x = 10
76,1,The result of (20) + (2) + (15) + (3) is 40.
77,1,x = 25
78,1,x = -9 or x = 9
79,1,x = 15/7
80,1,The result of (26) + (20) + (17) + (11) + (9) is 83.
81,1,x = 4/5
82,1,x = 32/5
83,1,The result of (12) + (6) + (8) is 26.
84,1,x = -9 or x = 9
85,1,The result of (7) / (1) is 7.0.
86,1,The result of (-26) + (-20) + (21) + (-23) + (-27) is -75.
87,1,x = -6
88,1,x = 71/15
89,1,x = 85
90,1,x = 17/2
91,1,The result of (38) - (-20) is 58.
92,1,The result of (-12) + (-22) + (10) + (8) + (9) is -7.
93,1,x = 45/17
94,1,x = -5 or x = 5
95,1,The result of (-15) + (1) + (8) is -6.
96,1,x = -4 or x = 4
97,1,x = -9/2
98,1,x = -4 or x = 4
99,1,x = -19/11
